id,title,category,points,type,description
1,"Moshe Rabbeinu",People,1,text,"The greatest prophet in Jewish history, who led the Israelites out of Egyptian slavery. He received the Torah at Sinai and is the central figure of the Pesach story — yet his name appears only once in the Haggadah."
2,"Pharaoh",People,1,text,"The king of ancient Egypt whose repeated refusal to free the Israelites brought ten plagues upon his kingdom. His declaration — ‘Who is Hashem that I should listen to Him?’ — opens the Exodus narrative."
3,"Miriam HaNeviah",People,1,text,"The prophetess and sister of Moshe who watched over him as an infant on the Nile. After the sea split, she led the women in song and dance with tambourines — one of the most celebrated moments in the Exodus."
4,"Yocheved",People,2,text,"The mother of Moshe, Aharon, and Miriam. When Pharaoh decreed all newborn Hebrew boys be drowned, she placed infant Moshe in a waterproofed basket on the Nile and saved his life."
5,"Nachshon ben Aminadav",People,3,text,"Prince of the tribe of Yehudah who, according to the Midrash, jumped into the Red Sea before it split — wading in up to his nose until the waters parted. The definitive symbol of faith in action."
6,"Batya (Bityah)",People,3,text,"Pharaoh’s daughter who drew infant Moshe from the Nile and raised him in the royal palace. Her name — meaning ‘daughter of God’ — was given by Hashem as a divine reward for her compassion."
7,"Aharon HaKohen",People,1,text,"Moshe’s older brother and the first Kohen Gadol. Appointed as Moshe’s spokesman before Pharaoh, he performed several plagues and became the ancestor of all kohanim throughout history."
8,"Rabban Gamliel",People,2,text,"The Nasi of the Sanhedrin who ruled that every person at the Seder must explain Pesach, matzah, and maror — or has not fulfilled the obligation. His ruling is central to the Haggadah’s Maggid section."
9,"Rabbi Akiva",People,2,text,"One of the greatest Tannaim, present at the all-night Seder in Bnei Brak. He taught that love of one’s neighbour is the foundational principle of the Torah. Ultimately martyred by the Romans."
10,"Elazar ben Azaryah",People,3,text,"The Tanna who could not resolve whether the Exodus must be mentioned at night — until Ben Zoma’s drashah settled it. Appointed head of the Sanhedrin at a young age, he famously said he was ‘like a man of seventy.’"
11,"Zipporah",People,2,text,"Moshe’s wife and daughter of Yitro. She plays a crucial, enigmatic role at a wayside inn where she circumcises their son, seemingly saving Moshe’s life from a divine threat on the journey back to Egypt."
12,"Yitro",People,2,text,"Moshe’s father-in-law, a Midianite priest. He sheltered Moshe after he fled Egypt and later advised him to delegate judicial authority — perhaps the Torah’s first management consultant."
13,"Afikoman",Objects,1,text,"The piece of matzah hidden at the start of the Seder and held ransom by children for a prize. Nothing may be eaten after it, ensuring it is the last taste of the night. Its etymology remains debated by scholars."
14,"Maror",Objects,1,text,"Bitter herbs eaten at the Seder to recall the bitterness of Egyptian slavery. Romaine lettuce or horseradish are most common. Listed in the Torah alongside the Pesach offering and matzah as a required element."
15,"Charoset",Objects,1,text,"A sweet paste of fruits, nuts, and wine representing the mortar used by Jewish slaves in Egypt. Ashkenazic versions use apples and walnuts; Sephardic versions often include dates, figs, and spices."
16,"Karpas",Objects,2,text,"A vegetable — parsley, celery, or potato — dipped in salt water at the start of the Seder. The salt water represents tears of slavery. The dipping prompts one of the four Mah Nishtanah questions."
17,"Zeroa",Objects,2,text,"A roasted shank bone on the Seder plate, recalling the Korban Pesach. It is not eaten but serves as a visual symbol. Vegetarians sometimes substitute a roasted beet."
18,"Beitzah",Objects,2,text,"A roasted or hard-boiled egg on the Seder plate, symbolising the festival offering brought to the Temple. Some interpret it as a symbol of mourning for the Temple’s destruction."
19,"Ke’arah",Objects,2,text,"The Seder plate itself, holding six symbolic items: zeroa, beitzah, maror, charoset, karpas, and chazeret. Its arrangement is debated by kabbalists; the Arizal’s layout is most widely followed."
20,"Kos Eliyahu",Objects,1,text,"The Cup of Elijah — a fifth wine cup filled but not drunk, left for the prophet. The door is opened during Shfoch Chamatcha. Its origin lies in an unresolved Talmudic debate about whether five cups are required."
21,"Matzah Shmurah",Objects,2,text,"Matzah guarded from harvest (or kneading) against contact with water that could cause leavening. Many Ashkenazim use round hand-made shmurah matzah specifically for the Seder mitzvah."
22,"Staff of Moshe",Objects,2,text,"The miraculous wooden staff used by Moshe and Aharon to bring the plagues and split the Red Sea. The Mishna in Avot lists it among ten things created on the eve of the first Shabbat at twilight."
23,"Korech",Objects,3,text,"The Hillel sandwich — matzah and maror eaten together — based on Hillel’s practice of fulfilling the verse ‘with matzah and bitter herbs they shall eat it’ in its most literal sense."
24,"Dayenu",Phrases,1,text,"‘It would have been enough’ — the beloved song listing fifteen acts of divine kindness during the Exodus, each declared sufficient on its own. Its structure teaches gratitude for every individual blessing."
25,"Mah Nishtanah",Phrases,1,text,"‘Why is this night different?’ — the four questions asked by the youngest child at the Seder, designed to prompt the telling of the Exodus story. The Talmud rules even two scholars must ask each other."
26,"Ha Lachma Anya",Phrases,2,text,"‘This is the bread of affliction’ — the Aramaic declaration opening Maggid, inviting all who are hungry to come and eat. Its use of Aramaic is debated; one view is it was said so the angels would not understand and object."
27,"B’chol Dor VaDor",Phrases,2,text,"‘In every generation’ — the obligation for each person at the Seder to personally identify with the Exodus, as if they themselves left Egypt. Derived from the verse ‘you shall tell your child on that day.’"
28,"Avadim Hayinu",Phrases,1,text,"‘We were slaves to Pharaoh in Egypt’ — the opening of the main Haggadah narrative following Mah Nishtanah. Per Rav in the Talmud, beginning with shame before praise is the correct structure for the retelling."
29,"Vehi She’amda",Phrases,2,text,"‘And this is what has stood for our fathers’ — declaring that in every generation enemies rise to destroy the Jewish people, yet God saves them. Often the moment the Seder falls into quiet reflection."
30,"L’Shanah Haba’ah biYerushalayim",Phrases,1,text,"‘Next year in Jerusalem’ — the closing declaration of the Seder, expressing hope for redemption. Also said at the end of Yom Kippur. Those in Jerusalem say ‘Next year in the rebuilt Jerusalem.’"
